t,v
1516504468,1758
1516504686,1814
1516504894,1655
1516505106,1798
1516505314,1719
1516505524,1679
1516505738,1761
1516516186,1687
1516516394,1812
1516516604,1735
1516516820,1658
1516517035,1697
1516517244,1807
1516517454,1744
1516517670,1675
1516517880,1728
1516518092,1717
1516518302,1810
1516518510,1711
1516518728,1675
1516518943,1812
1516519153,1734
1516519361,1682
1516529761,1731
1516529973,1731
1516530183,1698
1516530392,1805
1516530602,1742
1516530818,1673
1516531030,1744
1516531239,1674
1516531449,1776
1516531665,1717
1516531875,1731
1516532089,1707
1516532299,1808
1516532507,1703
1516532726,1661
1516543180,1680
1516543391,1805
1516543599,1699
1516543817,1681
1516544028,1682
1516544239,1727
1516544447,1730
1516544666,1686
1516544874,1682
1516545089,1789
1516545297,1722
1516545508,1680
1516545724,1814
1516545939,1808
1516546148,1711
1516546358,1664
1516556739,1715
1516556953,1739
1516557162,1659
1516557372,1791
1516557580,1718
1516557798,1680
1516558009,1707
1516558220,1655
1516558428,1744
1516558646,1707
1516558855,1799
1516559065,1735
1516559274,1658
1516559484,1793
1516559700,1712
1516570092,1810
1516570300,1697
1516570510,1689
1516570727,1734
1516570942,1744
1516571151,1666
1516571361,1791
1516571569,1717
1516571788,1680
1516572001,1670
1516572211,1799
1516572419,1712
1516572637,1681
1516572845,1811
1516573059,1728
1516573267,1733
1516583651,1807
1516583860,1712
1516584070,1659
1516584278,1760
1516584489,1719
1516584705,1781
1516584915,1797
1516585124,1677
1516585334,1773
1516585542,1731
1516585760,1698
1516585974,1653
1516586184,1791
1516586392,1722
1516586602,1681
1516596999,1712
1516597210,1673
1516597418,1812
1516597636,1719
1516597844,1766
1516598059,1680
1516598267,1813
1516598477,1730
1516598694,1760
1516598904,1814
1516599113,1681
1516599323,1749
1516599531,1733
1516599749,1691
1516599960,1729
1516600170,1696
1516610557,1813
1516610776,1723
1516610991,1675
1516611201,1776
1516611409,1728
1516611627,1680
1516611835,1814
1516612048,1680
1516612256,1813
1516612467,1729
1516612683,1750
1516612893,1703
1516613105,1807
1516613315,1737
1516613524,1661
1516613742,1795
1516624165,1812
1516624375,1732
1516624584,1718
1516624802,1808
1516625012,1700
1516625222,1808
1516625431,1706
1516625649,1675
1516625857,1744
1516626068,1711
1516626276,1787
1516626486,1814
1516626702,1683
1516626912,1783
1516627121,1722
1516637539,1727
1516637755,1735
1516637970,1679
1516638178,1814
1516638388,1731
1516638597,1680
1516638813,1755
1516639026,1770
1516639236,1815
1516639444,1689
1516639663,1738
1516639871,1707
1516640083,1655
1516640291,1760
1516640501,1721
1516640717,1773
1516651147,1735
1516651355,1655
1516651565,1791
1516651781,1722
1516651995,1812
1516652203,1702
1516652413,1655
1516652629,1735
1516652840,1708
1516653054,1657
1516653264,1792
1516653472,1722
1516653690,1681
1516653899,1760
1516654110,1717
1516664533,1681
1516664752,1749
1516664962,1680
1516665173,1761
1516665381,1729
1516665591,1705
1516665807,1808
1516666022,1767
1516666230,1729
1516666441,1690
1516666657,1812
1516666867,1733
1516667075,1693
1516667286,1808
1516667494,1710
1516667712,1678
1516678125,1711
1516678335,1668
1516678543,1814
1516678761,1726
1516678974,1715
1516679184,1675
1516679392,1814
1516679602,1728
1516679819,1755
1516680031,1730
1516680239,1709
1516680449,1805
1516680666,1698
1516680876,1719
1516681089,1769
1516691532,1777
1516691748,1725
1516691962,1811
1516692170,1696
1516692380,1698
1516692588,1735
1516692807,1707
1516693020,1683
1516693230,1742
1516693438,1733
1516693656,1711
1516693864,1805
1516694075,1739
1516694283,1674
1516694493,1785
1516694710,1712
1516705106,1675
1516705314,1814
1516705525,1726
1516705741,1744
1516705956,1659
1516706164,1767
1516706375,1717
1516706583,1766
1516706801,1811
1516707012,1794
1516707222,1815
1516707430,1679
1516707649,1789
1516707857,1718
1516708068,1671
1516718526,1814
1516718744,1719
1516718957,1712
1516719167,1674
1516719376,1813
1516719586,1727
1516719802,1751
1516720014,1728
1516720222,1747
1516720433,1810
1516720649,1707
1516720859,1659
1516721067,1741
1516721277,1713
1516721486,1783
1516721704,1813
1516732084,1718
1516732294,1808
1516732502,1711
1516732720,1671
1516732933,1727
1516733144,1808
1516733352,1699
1516733562,1655
1516733778,1747
1516733995,1737
1516734203,1659
1516734413,1792
1516734630,1712
1516734840,1671
1516735054,1767
1516745437,1712
1516745653,1787
1516745864,1813
1516746072,1681
1516746282,1750
1516746490,1729
1516746708,1699
1516746916,1810
1516747127,1731
1516747335,1707
1516747546,1808
1516747762,1709
1516747978,1701
1516748186,1802
1516748397,1746
1516748605,1677
1516758996,1799
1516759204,1679
1516759414,1756
1516759630,1723
1516759841,1681
1516760054,1653
1516760264,1795
1516760472,1716
1516760690,1679
1516760899,1815
1516761109,1726
1516761317,1748
1516761527,1810
1516761743,1708
1516761960,1700
1516772345,1719
1516772555,1811
1516772772,1693
1516772986,1728
1516773195,1738
1516773405,1809
1516773621,1709
1516773831,1667
1516774044,1739
1516774254,1810
1516774462,1703
1516774681,1705
1516774889,1663
1516775103,1802
1516775311,1712
1516775522,1671
1516785973,1729
1516786184,1689
1516786392,1813
1516786602,1732
1516786818,1667
1516787030,1734
1516787239,1679
1516787449,1780
1516787665,1714
1516787875,1731
1516788089,1706
1516788299,1808
1516788507,1704
1516788725,1654
1516788938,1699
1516789148,1808
1516799581,1735
1516799799,1712
1516800009,1738
1516800220,1712
1516800428,1786
1516800646,1813
1516800854,1680
1516801065,1776
1516801273,1728
1516801483,1689
1516801699,1813
1516801910,1728
1516802118,1749
1516802328,1811
1516802537,1697
1516812972,1687
1516813180,1809
1516813390,1737
1516813598,1697
1516813816,1805
1516814027,1679
1516814237,1799
1516814445,1711
1516814664,1661
1516814872,1714
1516815084,1675
1516815292,1815
1516815502,1722
1516815719,1757
1516815930,1733
1516816138,1681
1516826563,1710
1516826779,1789
1516826995,1790
1516827203,1717
1516827413,1680
1516827630,1814
1516827840,1722
1516828054,1687
1516828264,1717
1516828472,1733
1516828690,1708
1516828899,1811
1516829110,1733
1516829318,1678
1516829528,1798
1516839966,1763
